,Varianta,Varianta cumulata,Procent varianta,Procent cumulat
Comp0,9.321241369275205,9.321241369275205,46.606206846376026,46.606206846376026
Comp1,2.338909903888453,11.660151273163658,11.694549519442266,58.30075636581829
Comp2,1.7444655662621213,13.40461683942578,8.722327831310606,67.0230841971289
Comp3,1.4244791787949342,14.829096018220714,7.122395893974671,74.14548009110356
Comp4,1.1190758830179164,15.94817190123863,5.595379415089582,79.74085950619315
Comp5,1.0177795555387277,16.965951456777358,5.088897777693639,84.82975728388678
Comp6,0.874813580766365,17.840765037543722,4.374067903831825,89.2038251877186
Comp7,0.6255291822019804,18.466294219745702,3.127645911009902,92.33147109872851
Comp8,0.5119669247277459,18.978261144473446,2.5598346236387295,94.89130572236725
Comp9,0.24128700504533168,19.21954814951878,1.2064350252266585,96.0977407475939
Comp10,0.2118885328993806,19.43143668241816,1.059442664496903,97.1571834120908
Comp11,0.192542720829402,19.62397940324756,0.96271360414701,98.11989701623781
Comp12,0.15474607086217004,19.77872547410973,0.7737303543108502,98.89362737054867
Comp13,0.1285045934378519,19.907230067547584,0.6425229671892595,99.53615033773794
Comp14,0.051215791576631566,19.958445859124215,0.2560789578831578,99.7922292956211
Comp15,0.018907772113705732,19.97735363123792,0.09453886056852866,99.88676815618963
Comp16,0.012618064713470998,19.989971695951393,0.06309032356735499,99.94985847975698
Comp17,0.0076601833833418054,19.997631879334733,0.038300916916709025,99.9881593966737
Comp18,0.0018391135206391098,19.99947099285537,0.009195567603195549,99.9973549642769
Comp19,0.0005290071446284403,20.0,0.0026450357231422015,100.00000000000004
