Tara,Research and development expenditure,Human resources in science and technology,Households -  level of internet access,Individuals who have basic information skills,Individuals who have above basic information skills,Individuals who have basic communication skills,Individuals who have above basic communication skills,Individuals who have basic problem solving skills,Individuals who have above basic problem solving skills,Individuals who have basic software skills,Individuals who have above basic software skills,Individuals who have low overall digital skills,Individuals who have basic overall digital skills,Individuals who have above basic overall digital skills,National expenditure on environmental protection,Early childhood to tertiary education,Bachelor's or equivalent level,Master's or equivalent level,Total unemployment rate,Death due to suicide
Belgium,3.16,54.6,89.73,10.98,73.54,10.51,78.47,21.31,62.09,23.29,38.95,29.23,26.65,34.18,3.2,27.5,3.3,0.9,5.5,15.22
Bulgaria,0.83,36.6,75.07,12.63,44.88,10.98,54.24,24.81,24.56,14.32,16.57,38.12,18.11,11.29,1.5,17,2.1,1,5.2,7.99
Czechia,1.93,39.8,87,7.6,75.23,17.92,66.04,16.72,63.41,34.44,29.72,24.36,36.3,25.79,2.6,19.6,1.8,1,2,11.22
Denmark,2.93,58.4,95.43,4.89,90.37,10.06,85.39,22.03,72.75,15.59,54.78,26.7,21.46,48.53,2,27.2,3.4,1.2,5,10.57
Germany,3.17,50.3,94.83,6.52,83.63,18.72,71.51,14.74,72.76,23.43,48.32,22.49,31.32,38.84,2.2,20.8,2.4,1.3,3,10.18
Estonia,1.63,51.9,90.43,5.88,80.39,13.72,72.37,18.82,67.24,20.19,42.27,27.81,24.55,37.03,2.2,21.9,2.1,1.1,4.5,14.89
Ireland,1.23,58,90.59,9.75,74.86,15.33,69.96,26.99,54.59,13.45,41.4,35.77,19.24,34.14,0.7,29.5,3.4,0.7,5,8.15
Greece,1.28,39.3,78.54,5.02,67.18,11.04,57.73,20.4,41.16,23.09,32.81,24.19,27.2,23.32,1.2,22.7,6.3,0.8,17.9,4.63
Spain,1.25,46.5,91.44,9.43,73.61,16.72,66.46,18.26,59.51,15.59,43.69,31.49,21.11,36.09,1.6,22,2.6,0.7,14.1,7.39
France,2.19,53.5,90.17,12.62,68.84,25.64,58.95,20.97,62.26,18.49,41.57,31.58,26.38,30.92,2,23.3,1.6,1.5,8.4,NA
Croatia,1.08,40.1,80.52,5.32,72.08,13.58,59.66,17.22,51.88,12.9,43.12,25.59,18.01,35.34,2.3,19.3,2.3,1.6,6.6,14.01
Italy,1.46,37.3,85.17,14.19,46.67,15.55,54.65,20.89,37.61,13.17,32.19,31.52,19.49,22.02,1.8,18.2,1.9,1.2,9.9,5.62
Cyprus,0.71,52.5,89.61,8.23,72.47,8.71,71.73,21.03,43.63,15.91,30.38,40.51,19.79,25.23,1.7,22.5,2.7,2.3,7.1,4.35
Latvia,0.64,46.8,85.45,10.39,68.29,12.68,68.41,26.56,52.33,14.74,29.15,42.28,18.51,24.45,2,21.9,2.4,1,6.3,15.04
Lithuania,0.99,51.9,81.52,6.71,71.78,10.99,65.08,15.65,57.5,22.46,35.56,24.79,23.85,32.3,1.7,21.5,2.9,1,6.3,22.89
Luxembourg,1.18,63.7,95.2,13.2,73.52,19.83,71.64,24.43,63.25,21.33,46.51,30.29,28.83,35.76,1,18.5,0.5,0.4,5.6,11.52
Hungary,1.48,38.2,86.2,6.39,70.37,7.37,71.07,23.53,43.99,18.5,32.12,31.33,23.32,25.36,1.7,18.9,1.9,0.8,3.3,15.65
Malta,0.57,47.4,86.08,8.55,70.85,10.41,72.47,18.49,56.06,12.62,44.88,29.41,17.56,38.25,1.5,16.9,1.8,1,3.6,3.95
Netherlands,2.18,58.7,98.41,4.36,89.47,11.27,83.22,13.36,80.56,24.89,55.17,16.43,29.81,49.56,2.4,24.2,4,1.1,4.4,10.48
Austria,3.13,51.1,89.91,8.53,73.65,18.34,64.87,14.98,64.76,18,50.51,20.93,26.33,39.22,3.5,20.2,2.2,1.5,4.8,12.32
Poland,1.32,46,86.75,12.76,62.11,15.18,58.31,22.61,47.07,19.57,26.52,34.94,23.16,21.29,2.8,20.3,2.5,1.2,3.3,11.96
Portugal,1.4,38.3,80.94,7.04,62.19,10.74,61.67,18.25,43.57,13.25,41.76,22.44,19.66,32.1,1.7,NA,2,1.2,6.7,8.76
Romania,0.48,28.2,83.61,20.84,49.05,15.92,55.11,40.07,33.59,19.84,15.24,42.68,20.64,10.33,0.8,18.3,1.8,0.9,4.9,9.03
Slovenia,2.05,48.2,88.96,9.63,69.05,19.54,58.49,20.17,52.47,15.9,42.75,27.54,24.06,31.07,2.1,21.3,2,1,4.4,18.23
Slovakia,0.83,38.1,82.19,9.59,69.96,14.04,65.29,17.31,58.91,23.32,32.24,28.66,26.8,27.07,1.8,18.3,1.4,1,5.7,6.97
Finland,2.8,59.9,94.36,4.43,88.69,12.78,79.78,16.58,77.56,21.9,55.15,18.58,26.4,50.07,1.4,26.7,3.7,1.3,6.8,13.47
Sweden,3.39,60.7,96.06,6.07,86.73,12.84,81.12,18.05,75.02,22.59,50.94,23.65,26.38,46.04,2.1,28.5,2.4,1.4,7,12.75
Iceland,2.32,59,97.7,5.63,90.99,3.93,93.65,13.32,84.31,20.89,65.29,13.32,23.8,61.57,1.8,29.6,3.5,1.3,3.5,11.33
Norway,2.16,59.3,98.38,5.07,91.17,6.89,90.14,11.65,86,27.67,55.39,15.51,31.45,51.09,1.5,27.7,3.7,1.4,3.9,12.38
Switzerland,3.15,59.6,95.51,6.63,84.75,15.5,78.7,16.74,74.17,20.66,58.93,19,27.48,49.33,1.8,19.1,2.5,0.8,4.4,11.83
United Kingdom,1.76,59.1,95.85,7.49,82.39,13.79,79.44,15.02,76.06,18.99,56.49,20.5,25.04,48.85,NA,NA,2.5,0.7,NA,NA
Montenegro,NA,38.8,74.25,14.92,57.82,NA,NA,47.23,22.4,19.87,33.6,NA,NA,NA,NA,NA,3.4,0.2,15.2,NA
North Macedonia,0.37,32.5,81.62,12.44,54.47,6.89,72.61,22.95,30.79,14.23,20.47,49.66,16.48,15.07,NA,17.2,2.6,0.1,17.3,NA
Serbia,0.89,35.3,80.14,11.44,61.98,12.2,59.76,24.82,37.8,20.56,29.15,31.17,25.89,19.83,NA,18,2.7,0.7,11.3,13.26
